Player,cap_percentage,orb,drb,trb,stl,blk,usg,vorp,BC,load,efg,fga,SQ,ppg
Devin Booker,0.2500,1.5,12.7,7,1.2,0.6,31.7,1.4,8.7,48.4,50.1,20.3,79.8,24.9
Karl-Anthony Towns,0.2500,9.3,30.9,20,1.1,3.5,22.9,5.2,4.3,32.2,59.6,15.1,79.3,21.3
Myles Turner,0.1649,5.8,19.8,12.8,1,5.7,20,0.8,2.1,25.6,52.3,13.1,64.4,12.7
Larry Nance Jr.,0.1166,12.4,22,17.3,3,2.2,15.9,1.6,1.4,22,58.4,10.5,44.6,8.7
Justise Winslow,0.1191,4.3,20.5,12.4,1.6,1.7,16.3,0.4,2.2,25.3,47.4,11,52.2,7.8
Ben Simmons,0.2800,6.9,20,13.7,2,1.8,22.1,3.8,3.5,41.3,56.3,12.6,30.7,16.9
Jamal Murray,0.2500,2.9,11.2,7,1.3,1,24.9,1.6,7,43.3,50.2,17.6,76.1,18.2
Pascal Siakam,0.2800,5.4,17.5,11.6,1.4,1.7,20.8,2.8,4.4,31.7,59.1,13.4,64.8,16.9
Jaylen Brown,0.2147,3.6,13.9,8.7,1.7,1.5,22.2,0,2.4,28.2,52.5,14.9,57.8,13
Domantas Sabonis,0.1814,11.5,29.8,20.8,1.3,1.5,23.5,2.4,4,34.7,59.6,14,50.3,14.1
Caris LeVert,0.1485,3.5,11.4,7.5,1.9,1,24,0.6,5.6,40.2,47.8,16.2,57.7,13.7
Taurean Prince,0.1122,1.5,12.3,6.7,1.6,1.1,19.5,0,3,27.5,54.5,13.3,75.8,13.5
Dejounte Murray,0.1309,7,22.4,14.6,2.8,1.5,20.7,1.1,3.1,33.5,45.1,13.3,49.7,8.1
Donovan Mitchell,0.2500,2.6,11.3,7.1,1.4,0.5,30.8,2.3,6.2,42.4,50.6,19.4,71,24
Jayson Tatum,0.2500,3.1,18.5,10.9,2,2.3,28.6,3.4,5.8,40.8,52.7,19.6,78.6,23.4
Bam Adebayo,0.2500,8.5,24.9,17,1.7,3.8,21.2,3.3,3,34.5,55.8,12,42.2,15.9
De'Aaron Fox,0.2500,2.4,11.4,6.8,2.2,1.5,29.8,1.6,10,53.8,51.3,18.2,54.7,21.1
OG Anunoby,0.1430,4.2,14.2,9.3,2.2,2.1,14.3,1.7,1.2,19.3,58.4,9.8,64,10.6
Derrick White,0.1350,2.3,12.1,7.2,1.3,3.1,18.9,1.4,5.2,34.1,53,11.8,72.9,11.3
Jonathan Isaac,0.1548,6.2,19.6,12.7,2.6,7.2,18.3,1.1,1.7,23.6,51.8,12.4,63.7,11.9
Luke Kennard,0.1187,1.1,11.1,6,0.6,0.5,19.8,0.4,5.2,34.3,54.8,13.7,81.7,15.8
Markelle Fultz,0.1468,2.1,11,6.4,2.2,0.5,21.4,0.1,5.5,40.2,48.8,14.1,54,12.1
Kyle Kuzma,0.1156,3.8,15.7,9.8,0.9,1.5,22.9,-0.2,2.4,29,50,15.6,60,12.8
Luka Dončić,0.3000,2.7,22.9,12.8,1.4,1.5,36,5.1,16.4,67.4,55,22.1,66.2,27.7
Trae Young,0.3000,2,10.5,6.3,1.2,0.5,33,3,16.5,67.2,49.9,19.3,76.2,25.3
Shai Gilgeous-Alexander,0.2500,1.7,13.1,7.3,1.1,1.7,27.8,1.8,10.6,49,57.1,17.1,73.8,23.7
Michael Porter Jr.,0.2500,5.4,20.9,13.2,1,2.8,21.7,2.5,2.7,27.7,64.6,15.8,81.6,19
Jaren Jackson Jr.,0.2341,6.9,18.7,12.7,2.2,6.3,25.9,0.1,2.6,31.9,47.7,17.5,69,14.4
Mikal Bridges,0.1698,3.7,11.1,7.5,1.6,2.4,14.9,3.1,1.9,22.4,60.1,10.9,71.9,13.5
Kevin Huerter,0.1173,2,9.7,6,1.9,0.7,17.2,1,3.2,28,55.9,12.8,73.9,11.9
Wendell Carter Jr.,0.1144,10.2,24.6,17.4,1.2,2.7,19.3,0.2,3.9,30.9,57.6,13.4,56.6,11.2
Robert Williams,0.0866,14.9,25.6,20.2,2.1,8.6,15,2,1.2,17.8,73.6,7.6,20.1,8
Landry Shamet,0.0768,0.9,7.6,4.4,1.1,0.6,16.7,-0.2,2.2,25.3,52.1,12.2,77.7,9.3
Grayson Allen,0.0722,1.6,12,6.7,1.7,0.6,16.8,0.6,1.7,21.9,58.8,11.3,82.3,10.6
Ja Morant,0.2500,4.2,14.1,9,1.7,1,33.7,3.9,14,65.9,50.4,21.9,60.7,27.4
Darius Garland,0.2500,1.8,8.2,5.1,1.8,0.3,27.8,2.8,12.3,54.1,53.7,17,81.3,21.7
Jordan Poole,0.2018,1.7,10.5,6.2,1.3,1,26,1.7,8.1,46.3,51.4,17.9,77.8,18.5
RJ Barrett,0.1756,2.9,15.5,9.1,0.9,0.7,27.6,0.2,4.2,37,48.5,17.3,61,20
Brandon Clarke,0.0919,11.1,17.8,14.4,1.5,4.9,17.7,2,2,24.7,65.8,11.2,27.3,10.4
Tyler Herro,0.1985,1.7,15.4,8.7,1,0.4,28.8,1.5,6.4,40.5,53.1,17.6,85.7,20.7
De'Andre Hunter,0.1477,1.8,10.4,6.1,1.1,1.2,19.9,-0.8,1.9,25.4,52.2,13.5,70.2,13.4
Keldon Johnson,0.1470,3.5,16.7,10,1.2,0.5,21.3,0.9,5,39.7,51.2,19.1,64.8,17
Nassir Little,0.0459,5.7,18.7,11.9,1.1,3.3,15.8,0.2,1.4,21.5,53.8,11.3,65.3,9.8
Kevin Porter Jr.,0.1629,2.5,13,7.7,1.7,1,24.1,0.2,8,43.8,52.2,15.8,70.1,15.6