Rank,name,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,
-1,"Sarr, Alexandre",C,Australia,4/26/05,19.19,"7'1""","7'4.25""",224,"10""","9'2""",30.50,37.0,11.43,3.23,3.27,1,2.57,2,1,1,4,7,1,2,24,,17.2,9.7,1.4,3.0,4.4,0.9,0.5,1.3,1.1,1.4,3.7,7.1,0.520,3.1,5.2,0.605,0.6,2.0,0.298,1.7,2.3,0.714,0.654,20.3,2.9,6.3,9.2,1.9,1.0,2.7,2.3,2.9,7.7,10.9,4.2,4.8,https://www.basketball-reference.com/international/players/alexandre-sarr-1.html,
0,"Sheppard, Reed",PG,Kentucky,6/24/04,20.03,"6'3""","6'6.25""",182,"9""","7'9.5""",32.50,42.0,10.96,3.03,3.08,2,3.57,4,2,3,2,4,5,5,33,5,28.9,12.5,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.747,15.6,0.5,4.7,5.1,5.6,3.1,0.9,2.5,2.4,5.4,4.5,5.5,2.5,https://www.sports-reference.com/cbb/players/reed-sheppard-2.html,
1,"Risacher, Zaccharie",SF,France,4/8/05,19.24,6' 9.75'',6' 9.5'',195,"8.75""",8' 11'',25.00,31.0,11.51,2.97,3.38,3,3.71,1,5,2,3,8,6,1,32,,22.0,10.1,1.2,2.6,3.8,0.9,0.8,0.3,1.3,2.4,3.3,7.5,0.439,2.1,4.1,0.511,1.2,3.4,0.352,2.3,3.1,0.740,0.645,16.5,2.0,4.3,6.2,1.5,1.3,0.5,2.1,3.9,5.4,6.7,5.6,5.1,https://www.basketball-reference.com/international/players/zaccharie-risacher-1.html,
2,"Clingan, Donovan",C,UConn,2/23/04,20.37,"7'3""","7'6.75""",282,"10.25""","9'7""",25.50,29.0,12.06,3.38,3.46,4,3.71,3,4,4,7,2,3,3,35,33,22.5,13.0,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,5.3,8.3,0.639,5.3,8.1,0.650,0.1,0.2,0.250,2.3,4.0,0.583,0.760,20.8,4.0,7.8,11.8,2.4,0.8,4.0,1.3,3.2,8.5,13.0,0.3,6.4,https://www.sports-reference.com/cbb/players/donovan-clingan-1.html,
3,"Castle, Stephon",SG,UConn,11/1/04,19.68,"6'6.75""","6'9""",210,"8.75""","8'6""",28.50,37.0,10.93,2.91,3.19,5,3.86,6,3,5,6,1,2,4,34,30,27.0,11.1,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,4.0,8.5,0.472,3.4,6.3,0.544,0.6,2.2,0.267,2.4,3.2,0.755,0.628,14.8,2.3,4.0,6.3,3.9,1.1,0.7,2.0,3.2,5.3,8.4,2.9,4.3,https://www.sports-reference.com/cbb/players/stephon-castle-2.html,
4,"Buzelis, Matas",SF,G-League Ignite,10/13/04,19.73,"6'10""","6'10""",197,"9.25""","8'9.5""",31.00,38.0,10.73,2.90,3.09,6,7.57,5,12,9,5,3,13,6,34,32,31.0,14.1,1.6,5.0,6.6,1.9,0.9,1.9,2.2,2.4,5.4,11.8,0.455,4.5,8.4,0.533,0.9,3.4,0.261,1.4,2.0,0.696,0.584,16.4,1.8,5.8,7.7,2.3,1.1,2.3,2.5,2.8,6.2,9.7,3.9,2.4,https://basketball.realgm.com/player/Matas-Buzelis/Summary/176589,
5,"Knecht, Dalton",SF,Tennessee,4/19/01,23.21,"6'6.5""","6'9""",212,"9.5""","8'7.5""",31.00,39.0,10.56,2.79,3.07,7,7.57,7,9,6,8,9,7,7,36,36,30.6,21.7,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,7.3,16.0,0.458,4.8,9.5,0.499,2.6,6.5,0.397,4.4,5.7,0.772,0.664,25.5,0.9,4.8,5.8,2.1,0.8,0.7,2.0,2.1,8.6,11.2,7.6,6.7,https://www.sports-reference.com/cbb/players/dalton-knecht-1.html,
6,"Topic, Nikola",PG,Serbia,8/10/05,18.90,6' 7'',6' 5.5'',203,"9""",8' 6'',,,,,,8,8.14,10,13,8,1,11,4,10,12,,33.8,18.4,0.8,2.8,3.6,7.1,1.0,0.2,3.2,3.8,6.7,12.8,0.523,5.5,8.3,0.667,1.2,4.5,0.259,3.9,4.6,0.855,0.698,19.6,0.9,3.0,3.8,7.6,1.1,0.2,3.4,4.0,7.1,8.8,4.8,4.9,https://www.basketball-reference.com/international/players/nikola-topic-1.html,
7,"Williams, Cody",SF,Colorado,11/20/04,19.63,"6'7.75""","7'1""",178,"9""","8'7""",31.00,35.5,11.17,2.93,3.06,9,9.71,11,6,11,12,12,8,8,24,18,28.4,11.9,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,4.5,8.1,0.552,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.707,15.1,0.9,2.9,3.8,2.0,0.8,0.9,2.5,2.5,5.7,8.1,2.2,4.1,https://www.sports-reference.com/cbb/players/cody-williams-2.html,
8,"Carter, Devin",SG,Providence,3/18/02,22.30,"6'3.5""","6'8.75""",193,"9""","8'2""",35.00,42.0,10.63,2.90,2.87,10,10.14,12,7,12,13,5,11,11,33,33,35.3,19.7,1.0,7.7,8.7,3.6,1.8,1.0,2.7,1.9,6.6,14.0,0.473,4.1,7.3,0.563,2.5,6.8,0.377,3.9,5.2,0.749,0.687,20.1,1.0,7.9,8.9,3.7,1.8,1.0,2.8,1.9,6.7,7.4,6.9,5.3,https://www.sports-reference.com/cbb/players/devin-carter-3.html,
9,"Dillingham, Rob",PG,Kentucky,1/4/05,19.50,"6'2.25""","6'3""",164,"8.25""","7'11""",,,,,,11,10.57,8,15,7,9,10,9,16,32,1,23.3,15.2,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.652,23.5,0.5,4.2,4.5,6.0,1.5,0.2,3.1,4.0,8.3,10.5,7.0,4.8,https://www.sports-reference.com/cbb/players/rob-dillingham-1.html,
10,"Holland, Ron",SF,G-League Ignite,7/7/05,18.99,"6'7.25""","6'10.75""",197,"9""","8'8""",30.00,38.0,11.10,2.91,3.10,12,11.57,13,10,10,10,13,12,13,29,28,31.9,19.5,1.6,5.1,6.7,2.9,2.3,0.9,3.2,3.2,7.1,15.5,0.460,6.4,12.2,0.520,0.8,3.3,0.240,2.9,3.9,0.728,0.615,22.0,1.7,5.8,7.5,3.3,2.6,1.0,3.6,3.6,8.1,13.8,3.7,4.4,https://basketball.realgm.com/player/Ron-Holland/Summary/162288,
11,"Salaun, Tidjane",PF,France,8/10/05,18.90,6' 10'',7' 1.5'',217,"9.75""",9' 2'',27.50,32.0,11.45,3.05,3.37,13,11.71,9,11,15,11,6,21,9,33,,22.7,9.0,1.4,2.7,4.0,1.0,1.2,0.2,1.5,2.5,2.9,7.9,0.373,1.5,3.6,0.425,1.4,4.2,0.329,1.7,2.2,0.767,0.546,14.3,2.2,4.3,6.3,1.6,1.9,0.3,2.4,4.0,4.6,5.7,6.7,3.5,https://www.basketball-reference.com/international/players/tidjane-salaun-1.html,
12,"McCain, Jared",SG,Duke,2/20/04,20.38,"6'3.25""","6'3.5""",203,"9.5""","8'2""",25.50,33.0,10.87,3.07,3.23,14,13.71,15,14,14,14,14,10,15,36,36,31.6,14.3,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,4.9,10.5,0.462,2.4,4.7,0.521,2.4,5.8,0.414,2.1,2.4,0.885,0.657,16.3,0.9,4.8,5.7,2.2,1.3,0.1,1.5,1.8,5.6,5.4,6.6,2.7,https://www.sports-reference.com/cbb/players/jared-mccain-2.html,
13,"Walter, Ja'Kobe",SG,Baylor,9/4/04,19.84,"6'5.5""","6'10""",198,"9.75""","8'6.5""",30.50,38.5,11.00,2.92,3.04,15,16.86,14,23,18,15,16,18,14,35,35,32.3,14.5,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,4.1,10.9,0.376,2.0,4.7,0.423,2.1,6.3,0.341,4.1,5.2,0.792,0.645,16.2,1.4,3.5,4.9,1.6,1.2,0.2,1.4,2.3,4.6,5.2,7.0,5.8,https://www.sports-reference.com/cbb/players/jakobe-walter-2.html,
14,"Carrington, Carlton",PG,Pittsburgh,7/21/05,18.96,"6'5""","6'8""",195,"9.25""","8'3""",28.50,36.5,11.28,2.99,3.16,16,17.14,19,8,17,30,17,17,12,33,33,33.2,13.8,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,4.8,11.7,0.412,2.8,5.6,0.511,2.0,6.1,0.322,2.2,2.8,0.785,0.573,15.0,0.5,5.1,5.6,4.4,0.7,0.2,2.1,2.6,5.2,6.1,6.6,3.0,https://www.sports-reference.com/cbb/players/carlton-carrington-1.html,
15,"da Silva, Tristan",PF,Colorado,5/15/01,23.14,"6'9.5""",6'10.25,217,"9.5""","8'8.5""",28.50,35.5,10.81,2.82,3.09,17,18.71,17,18,24,16,22,14,20,34,34,33.8,16.0,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2.0,5.8,11.8,0.493,3.9,7.0,0.559,1.9,4.8,0.395,2.5,3.0,0.835,0.657,17.0,1.0,4.4,5.4,2.6,1.2,0.6,1.9,2.1,6.2,7.5,5.1,3.2,https://www.sports-reference.com/cbb/players/tristan-dasilva-1.html,
16,"Collier, Isaiah",PG,USC,10/8/04,19.74,"6'3.75""",6'4.75,205,"9""","8'1.5""",30.00,34.0,10.77,2.90,3.04,18,18.71,23,19,13,20,19,16,21,27,26,30.0,16.3,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,5.7,11.6,0.490,4.7,8.7,0.543,1.0,3.0,0.338,3.9,5.8,0.673,0.685,19.6,0.7,2.8,3.5,5.2,1.8,0.2,4.0,2.9,6.8,10.4,3.6,7.0,https://www.sports-reference.com/cbb/players/isaiah-collier-2.html,
17,"Edey, Zach",C,Purdue,5/14/02,22.14,"7'5.25""","7'10.75""",299,"10.75""","9'7""",26.00,31.5,11.19,3.01,3.42,19,19.14,16,17,23,26,15,19,18,39,39,32.0,25.2,4.6,7.5,12.2,2.0,0.3,2.2,2.3,1.9,8.6,13.8,0.623,8.6,13.8,0.624,0.0,0.1,0.500,7.9,11.2,0.711,0.893,28.4,5.2,8.4,13.7,2.3,0.3,2.5,2.6,2.1,9.7,15.5,0.1,12.6,https://www.sports-reference.com/cbb/players/zach-edey-1.html,
18,"Filipowski, Kyle",PF,Duke,11/7/03,20.66,"7'0.25""","6'10.5""",230,"9.5""","8'11""",27.00,32.5,11.43,2.93,3.19,20,20.57,21,16,16,17,30,15,29,36,36,30.4,16.4,2.2,6.1,8.3,2.8,1.1,1.5,2.1,3.0,6.1,12.1,0.505,5.0,9.0,0.559,1.1,3.1,0.348,3.1,4.6,0.671,0.662,19.4,2.6,7.2,9.8,3.3,1.3,1.8,2.5,3.6,7.2,10.7,3.7,5.4,https://www.sports-reference.com/cbb/players/kyle-filipowski-1.html,
19,"Missi, Yves",C,Baylor,5/14/04,20.14,"7'0""","7'2""",229,"10""","9'1.5""",31.00,38.5,11.45,3.12,3.12,21,22.29,22,20,19,22,25,29,19,34,32,22.9,10.7,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,4.1,6.7,0.614,4.1,6.7,0.614,0.0,0.0,0.000,2.5,4.1,0.616,0.767,16.8,4.1,4.7,8.8,0.6,0.9,2.4,1.7,3.8,6.4,10.5,0.0,6.4,https://www.sports-reference.com/cbb/players/yves-missi-2.html,
20,"Ware, Kel'el",C,Indiana,4/20/04,20.21,"7'1""","7'4.5""",230,"10.25""","9'4.5""",32.50,36.0,10.97,2.91,3.29,22,23.29,24,26,27,19,20,24,23,30,30,32.2,15.9,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,6.3,10.7,0.586,5.7,9.4,0.609,0.6,1.3,0.425,2.8,4.5,0.634,0.724,17.8,2.3,8.7,11.1,1.7,0.7,2.1,1.8,2.2,7.0,10.5,1.5,5.0,https://www.sports-reference.com/cbb/players/kelel-ware-1.html,
21,"Kolek, Tyler",PG,Marquette,3/27/01,23.27,"6'2.5""",6'2.75,197,"9.5""","7'11""",27.00,34.0,10.97,3.08,3.27,23,23.86,25,21,26,24,21,28,22,31,31,33.0,15.3,0.7,4.2,4.9,7.7,1.6,0.2,2.9,1.0,5.6,11.3,0.496,4.1,7.4,0.552,1.5,3.9,0.388,2.6,3.0,0.851,0.655,16.7,0.8,4.6,5.3,8.4,1.7,0.2,3.2,1.1,6.1,8.1,4.3,3.3,https://www.sports-reference.com/cbb/players/tyler-kolek-1.html,
22,"Furphy, Johnny",SF,Kansas,12/7/04,19.58,"6'8.75""","6'8""",189,"9.5""","8'8.5""",25.50,32.0,11.15,3.17,3.20,24,24.14,18,27,25,18,29,25,27,33,19,24.1,9.0,1.3,3.6,4.9,1.0,0.9,0.3,0.8,2.1,2.9,6.2,0.466,1.6,2.5,0.642,1.3,3.8,0.352,1.9,2.5,0.765,0.688,13.4,1.9,5.4,7.3,1.5,1.3,0.4,1.2,3.1,4.3,3.7,5.7,3.7,https://www.sports-reference.com/cbb/players/johnny-furphy-1.html,
23,"George, Kyshawn",SF,Miami,12/12/03,20.56,"6'8.25""","6'10.25""",209,"10.25""","8'9""",27.00,32.0,11.90,2.91,3.32,25,26.00,20,35,29,27,34,20,17,31,16,23.0,7.6,0.5,2.6,3.0,2.2,0.9,0.4,1.5,1.8,2.6,6.1,0.426,0.9,1.9,0.467,1.7,4.2,0.408,0.7,0.9,0.778,0.590,11.9,0.8,4.1,4.7,3.4,1.4,0.6,2.3,2.8,4.1,3.0,6.6,1.4,https://www.sports-reference.com/cbb/players/kyshawn-george-1.html,
24,"Smith, Tyler",PF,G-League Ignite,11/2/04,19.68,"6'10.25""","7'1""",224,"9""","8'9""",32.00,38.0,10.74,2.99,3.28,26,26.29,34,25,21,23,27,22,32,43,2,22.2,13.7,1.7,3.4,5.1,1.3,0.8,0.9,1.3,2.6,5.0,10.3,0.480,3.6,6.6,0.546,1.4,3.7,0.360,1.4,1.9,0.732,0.645,22.3,2.8,5.5,8.3,2.2,1.3,1.5,2.0,4.3,8.0,10.7,6.1,3.1,https://basketball.realgm.com/player/Tyler-Smith/Summary/170123,
25,"Holmes II, DaRon",C,Dayton,8/15/02,21.89,"6'10""","7'1""",236,"9""","9'0""",27.50,34.0,11.20,3.03,3.25,27,26.57,38,24,20,25,32,23,24,33,33,32.5,20.4,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2.0,6.6,12.1,0.544,5.6,9.6,0.585,1.0,2.5,0.386,6.2,8.8,0.713,0.822,22.6,1.9,7.5,9.4,2.9,1.0,2.3,2.4,2.2,7.3,10.6,2.8,9.7,https://www.sports-reference.com/cbb/players/daron-holmesii-1.html,
26,"Scheierman, Baylor",SF,Creighton,9/26/00,23.78,"6'7.5""","6'8.25""",202,"9.75""","8'6.5""",27.50,32.0,10.89,2.94,3.09,28,28.57,27,22,28,29,31,35,28,35,35,36.8,18.5,0.7,8.3,9.0,3.9,0.9,0.1,2.2,1.7,6.3,14.0,0.448,3.1,5.7,0.545,3.1,8.3,0.381,2.8,3.2,0.876,0.643,18.1,0.7,8.1,8.8,3.8,0.9,0.1,2.2,1.7,6.2,5.6,8.1,3.1,https://www.sports-reference.com/cbb/players/baylor-scheierman-1.html,
27,"Tyson, Jaylon",SF,California,12/2/02,21.59,"6'6.75""","6'8""",218,"9.5""","8'6.5""",29.50,36.5,11.13,3.06,3.12,29,30.00,31,28,31,31,33,26,30,31,30,34.3,19.6,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,7.2,15.4,0.465,5.5,10.9,0.509,1.6,4.5,0.360,3.6,4.6,0.796,0.622,20.6,1.7,5.4,7.1,3.7,1.3,0.5,3.3,2.2,7.6,11.4,4.7,4.8,https://www.sports-reference.com/cbb/players/jaylon-tyson-1.html,
28,"Klintman, Bobi",PF,Australia,3/6/03,21.33,"6'10""","6'11""",212,"10""","8'10.5""",26.50,32.5,11.49,3.21,3.23,30,30.29,29,36,32,28,18,36,33,23,,21.3,9.7,0.7,4.1,4.8,0.7,0.8,0.5,1.6,2.7,3.2,7.3,0.443,1.9,3.6,0.530,1.3,3.7,0.357,2.0,2.5,0.793,0.634,16.4,1.2,6.9,8.1,1.2,1.4,0.8,2.7,4.6,5.4,6.1,6.3,4.2,https://www.basketball-reference.com/international/players/bobi-klintman-1.html,
29,"Dadiet, Pacome",SF,France,7/27/05,18.94,6' 9'',6' 9'',217,"9""",8' 11.5'',29.00,36.0,11.84,2.94,3.21,31,30.86,30,34,37,32,26,31,26,18,,14.9,6.4,0.6,1.0,1.6,0.3,0.6,0.2,0.9,1.6,2.3,5.2,0.452,1.6,2.7,0.583,0.8,2.5,0.311,1.0,1.4,0.720,0.580,15.5,1.4,2.4,3.9,0.7,1.4,0.5,2.2,3.9,5.6,6.5,6.0,3.4,https://www.basketball-reference.com/international/players/pacome-dadiet-1.html,
30,"Dunn, Ryan",PF,Virginia,1/7/03,21.49,"6'7.5""","7'1.5""",214,"9.75""","8'7""",32.00,38.5,10.99,2.88,3.12,32,31.29,28,29,22,33,36,33,38,34,34,27.5,8.1,2.2,4.7,6.9,0.8,1.3,2.3,0.8,2.1,3.4,6.1,0.548,3.1,5.1,0.618,0.2,1.0,0.200,1.2,2.3,0.532,0.639,10.6,2.9,6.2,9.0,1.0,1.7,3.0,1.0,2.7,4.5,6.7,1.3,3.0,https://www.sports-reference.com/cbb/players/ryan-dunn-1.html,
31,"Shannon Jr, Terrence",SF,Illinois,7/30/00,23.93,"6'7""","6'8.75""",219,"8.5""","8'4""",,,,,,33,33.43,26,39,33,21,23,67,25,32,31,33.9,23.0,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,6.8,14.4,0.475,4.4,7.8,0.573,2.4,6.7,0.362,6.9,8.6,0.801,0.780,24.4,0.8,3.4,4.2,2.4,1.1,1.0,2.1,2.3,7.2,8.3,7.1,9.1,https://www.sports-reference.com/cbb/players/terrence-shannonjr-1.html,
32,"Christie, Cameron",SG,Minnesota,7/24/05,18.95,"6'5.75""","6'8""",190,"8""","8'5.5""",32.50,35.5,11.07,2.95,3.07,34,38.29,32,33,40,38,43,51,31,33,26,30.1,11.3,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,3.8,9.4,0.403,1.7,4.0,0.420,2.1,5.4,0.391,1.6,2.0,0.791,0.580,13.5,0.2,4.1,4.3,2.6,0.7,0.4,1.4,1.9,4.5,4.8,6.5,2.4,https://www.sports-reference.com/cbb/players/cam-christie-1.html,
33,"Johnson, AJ",SG,Australia,12/1/04,19.59,"6'5.75""","6'8.5""",167,"8.5""","8'6""",29.00,38.0,10.76,2.87,3.15,35,38.43,35,32,46,36,56,30,34,25,,7.9,2.8,0.3,1.0,1.3,0.7,0.2,0.1,0.6,0.8,1.1,3.0,0.355,0.8,1.9,0.396,0.3,1.1,0.286,0.3,0.5,0.538,0.433,12.8,1.4,4.6,5.9,3.2,0.9,0.5,2.7,3.6,5.0,8.7,5.0,2.3,https://www.basketball-reference.com/international/players/aj-johnson-1.html,
34,"McCullar Jr, Kevin",SF,Kansas,3/15/01,23.31,"6'6.5""","6'9""",206,"9.5""","8'7""",,,,,,36,40.86,37,55,39,34,41,27,53,26,26,34.2,18.3,0.8,5.2,6.0,4.1,1.5,0.4,2.5,1.9,6.1,13.5,0.454,4.6,9.0,0.515,1.5,4.5,0.333,4.6,5.7,0.805,0.660,19.3,0.8,5.5,6.3,4.3,1.6,0.4,2.6,2.0,6.4,9.5,4.7,6.0,https://www.sports-reference.com/cbb/players/kevin-mccullar-1.html,
35,"Mogbo, Jonathan",PF,San Francisco,10/29/01,22.68,"6'7.5""","7'2""",217,"8.75""","9'0.5""",31.50,37.5,11.14,3.07,3.02,37,41.00,40,43,44,39,39,42,40,34,34,28.9,14.2,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,6.1,9.5,0.636,6.1,9.5,0.640,0.0,0.1,0.000,2.1,3.1,0.692,0.724,17.7,4.1,8.5,12.6,4.5,2.0,1.0,2.2,3.2,7.6,11.8,0.1,3.9,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,
36,"Edwards, Justin",SF,Kentucky,12/16/03,20.55,"6'7.25""","6'10""",209,"8.75""","8'6.5""",28.00,32.5,12.07,3.22,3.18,38,41.71,39,58,30,41,49,38,37,32,30,21.4,8.8,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,0.616,14.8,2.0,3.7,5.7,1.5,1.5,0.3,1.3,3.7,5.6,7.1,4.5,2.5,https://www.sports-reference.com/cbb/players/justin-edwards-4.html,
37,"Bona, Adem",C,UCLA,3/28/03,21.27,"6'9.5""","7'3.75""",243,"10""","9'0""",35.00,40.0,11.01,3.01,3.15,39,41.86,33,41,43,44,38,41,53,33,33,26.5,12.4,2.0,3.9,5.9,1.2,1.1,1.8,2.5,3.6,4.6,7.9,0.588,4.6,7.8,0.591,0.0,0.0,0.000,3.1,4.5,0.696,0.756,16.8,2.7,5.3,8.0,1.6,1.5,2.4,3.4,4.9,6.2,10.6,0.0,6.1,https://www.sports-reference.com/cbb/players/adem-bona-1.html,
38,"Nunez, Juan",PG,Spain,6/4/04,20.09,6' 5.25'',6' 6.5'',206,"9.5""",8' 6'',22.00,29.0,11.47,3.10,3.41,40,42.14,36,47,48,35,46,47,36,14,,25.9,10.4,1.0,2.8,3.8,5.8,1.9,0.1,2.9,2.1,3.9,7.8,0.505,3.0,5.2,0.575,0.9,2.6,0.361,1.6,2.9,0.537,0.647,14.5,1.4,3.9,5.3,8.1,2.6,0.1,4.0,2.9,5.4,7.2,3.6,4.0,https://www.basketball-reference.com/international/players/juan-nunez-1.html,
39,"Djurisic, Nikola",SF,Serbia,2/23/04,20.37,"6'8.25""","6'8""",209,"10""","8'6.5""",27.50,34.5,10.63,2.92,3.12,41,42.57,50,37,49,42,24,43,53,26,,30.7,14.4,0.3,2.4,2.7,3.4,1.0,0.4,3.2,2.7,4.9,10.8,0.454,3.7,7.0,0.519,1.2,3.7,0.330,3.4,4.6,0.739,0.647,16.9,0.4,2.8,3.2,4.0,1.2,0.5,3.8,3.2,5.7,8.2,4.3,5.4,https://www.basketball-reference.com/international/players/nikola-djurisic-1.html,
