Rank,name,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,
,134,"Poplar, Wooga",SG,Miami,1/5/03,21.50,"6'5""",,195,,,,,,,,108,#DIV/0!,,,,,,,,29,29,31.1,13.1,0.7,4.1,4.8,2.1,0.8,0.3,1.9,2.1,4.6,10.8,0.426,2.4,5.2,0.470,2.1,5.6,0.385,1.8,2.0,0.864,0.586,15.2,0.8,4.7,5.6,2.4,0.9,0.3,2.2,2.4,5.3,6.0,6.5,2.3,https://www.sports-reference.com/cbb/players/wooga-poplar-1.html
,135,"Bal, Adama",PG,Santa Clara,12/18/03,20.55,"6'7""",,190,,,,,,,,109,#DIV/0!,,,,,,,,30,30,31.2,14.4,0.4,2.8,3.2,3.1,0.9,0.2,2.3,2.3,4.6,10.7,0.433,2.9,5.8,0.500,1.7,4.9,0.354,3.4,4.1,0.821,0.651,16.6,0.5,3.2,3.7,3.6,1.0,0.2,2.7,2.7,5.3,6.7,5.7,4.7,https://www.sports-reference.com/cbb/players/adama-bal-1.html
,136,"Murrell, Matthew",SG,Ole Miss,12/19/01,22.54,"6'3""",,201,,,,,,,,89,#DIV/0!,,,,,,,,32,32,32.9,16.2,0.6,3.1,3.6,2.4,1.6,0.3,1.7,2.0,5.6,12.0,0.464,3.1,5.9,0.532,2.4,6.1,0.398,2.7,3.6,0.739,0.657,17.7,0.7,3.4,3.9,2.6,1.8,0.3,1.9,2.2,6.1,6.5,6.7,3.9,https://www.sports-reference.com/cbb/players/matthew-murrell-1.html
,137,"Clayton Jr, Walter",PG,Florida,3/6/03,21.33,"6'2""",,195,,,,,,,,94,#DIV/0!,,,,,,,,36,36,30.9,17.6,0.5,3.1,3.6,2.6,1.1,0.6,2.2,2.4,5.6,13.0,0.432,3.0,5.9,0.512,2.6,7.1,0.365,3.8,4.3,0.877,0.657,20.5,0.6,3.6,4.2,3.0,1.3,0.7,2.6,2.8,6.5,6.9,8.3,5.0,https://www.sports-reference.com/cbb/players/walter-claytonjr-1.html
,138,"Thomas, Saint",SF,Northern Colorado,5/1/03,21.18,"6'7""",,200,,,,,,,,113,#DIV/0!,,,,,,,,32,32,34.8,19.7,1.8,8.0,9.8,4.2,1.7,0.9,3.0,2.6,7.0,14.8,0.472,5.0,8.7,0.572,2.0,6.2,0.330,3.7,4.3,0.868,0.649,20.4,1.9,8.3,10.1,4.3,1.8,0.9,3.1,2.7,7.2,9.0,6.4,4.4,https://www.sports-reference.com/cbb/players/saint-thomas-1.html
,139,"Onyenso, Ugonna",C,Kentucky,9/25/04,19.78,"6'11""",,220,,,,,,,,91,#DIV/0!,,,,,,,,24,14,18.8,3.6,1.8,3.0,4.8,0.2,0.3,2.8,0.7,1.4,1.4,2.5,0.550,1.4,2.5,0.559,0.0,0.0,0.000,0.8,1.4,0.588,0.652,6.9,3.4,5.7,9.2,0.4,0.6,5.4,1.3,2.7,2.7,4.8,0.0,2.7,https://www.sports-reference.com/cbb/players/ugonna-onyenso-1.html
,140,"Perrin, Zacharie",PF,France,8/30/04,19.85,"6'10""",,220,,,,,,,,95,#DIV/0!,,,,,,,,30,,24.2,9.7,1.6,4.9,6.5,1.1,0.7,0.4,1.2,1.8,3.7,6.9,0.538,3.1,5.0,0.616,0.6,1.9,0.333,1.6,2.6,0.628,0.673,14.4,2.4,7.3,9.7,1.6,1.0,0.6,1.8,2.7,5.5,7.5,2.8,3.9,https://basketball.eurobasket.com/player/Zacharie-Perrin/585329
,141,"Ajayi, Michael",SF,Pepperdine,6/23/03,21.03,"6'7""","7'0.75""",228,"9.75""","8'10.5""",27.00,34.5,11.77,3.17,3.21,98,#DIV/0!,,,,,,,,36,36,32.3,18.0,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,6.1,14.7,0.413,3.5,7.0,0.502,2.6,7.7,0.332,3.3,4.0,0.839,0.597,20.1,0.8,4.6,5.3,3.8,1.3,0.3,2.3,1.2,6.8,7.8,8.6,4.5,https://www.sports-reference.com/cbb/players/caleb-love-1.html
,142,"Stevenson, Jarin",PF,Alabama,10/15/05,18.72,"6'10""",,195,,,,,,,,105,#DIV/0!,,,,,,,,37,5,16.6,5.3,0.6,2.1,2.7,0.4,0.2,0.4,0.9,1.7,1.8,4.3,0.418,0.9,1.5,0.596,0.9,2.7,0.317,0.8,1.2,0.689,0.576,11.5,1.3,4.6,5.9,0.9,0.4,0.9,2.0,3.7,3.9,3.3,5.9,2.6,https://www.sports-reference.com/cbb/players/jarin-stevenson-1.html
,143,"Jelavic, Andrija",PF,Serbia,5/26/04,20.11,"6'11""",,224,,,,,,,,111,#DIV/0!,,,,,,,,26,,31.7,10.3,1.5,6.2,7.6,1.7,1.4,0.9,1.7,2.0,4.0,8.6,0.471,3.0,5.0,0.605,1.0,3.6,0.287,1.2,1.7,0.698,0.578,11.7,1.7,7.0,8.6,1.9,1.6,1.0,1.9,2.3,4.5,5.7,4.1,1.9,https://www.basketball-reference.com/international/players/andrija-jelavic-1.html
,144,"Kamardine, Ilias",PG,France,10/1/03,20.76,"6'5""",,180,,,,,,,,112,#DIV/0!,,,,,,,,12,,5.3,0.8,0.0,0.2,0.2,0.3,0.3,0.0,0.6,0.8,0.3,1.3,0.188,0.0,0.1,0.000,0.3,1.3,0.200,0.1,0.2,0.500,0.263,5.4,0.0,1.4,1.4,2.0,2.0,0.0,4.1,5.4,2.0,0.7,8.8,1.4,https://www.basketball-reference.com/international/players/ilias-kamardine-1.html
,145,"Aidoo, Jonas",C,Tennessee,12/10/02,21.57,"6'11""",,234,,,,,,,,113,#DIV/0!,,,,,,,,36,36,24.8,11.4,2.8,4.5,7.3,1.0,0.7,1.8,1.0,2.2,4.8,9.3,0.515,4.7,8.9,0.530,0.1,0.4,0.200,1.7,2.8,0.626,0.595,16.5,4.1,6.5,10.6,1.5,1.0,2.6,1.5,3.2,7.0,12.9,0.6,4.1,https://www.sports-reference.com/cbb/players/jonas-aidoo-1.html
,146,"Proctor, Tyrese",PG,Duke,4/1/01,23.26,"6'5""","6'7""",183,,,,,,,,87,#DIV/0!,,,,,,,,32,25,30.4,10.5,0.1,2.9,3.0,3.7,0.7,0.1,1.3,1.6,3.8,8.9,0.423,1.9,3.7,0.521,1.8,5.2,0.352,1.2,1.5,0.755,0.569,12.4,0.1,3.4,3.6,4.4,0.8,0.1,1.5,1.9,4.5,4.4,6.2,1.8,https://www.sports-reference.com/cbb/players/tyrese-proctor-1.html
,147,"Murray-Boyles, Collin",PF,South Carolina,6/10/05,19.07,"6'7""",,231,,,,,,,,74,#DIV/0!,,,,,,,,28,19,22.8,10.4,2.4,3.3,5.7,1.8,1.0,1.0,1.2,2.4,4.2,7.0,0.597,4.2,6.8,0.613,0.0,0.2,0.000,2.1,3.1,0.667,0.713,16.4,3.8,5.2,9.0,2.8,1.6,1.6,1.9,3.8,6.6,10.7,0.3,4.9,https://www.sports-reference.com/cbb/players/collin-murray-boyles-1.html
,148,"Jones, Kameron",SG,Marquette,2/25/02,22.36,"6'5""",,200,,,,,,,,67,#DIV/0!,,,,,,,,36,36,29.1,17.2,0.4,2.4,2.9,2.4,1.1,0.1,1.4,2.0,6.5,13.0,0.501,3.9,6.5,0.596,2.6,6.5,0.406,1.5,2.1,0.724,0.646,21.3,0.5,3.0,3.6,3.0,1.4,0.1,1.7,2.5,8.0,8.0,8.0,2.6,https://www.sports-reference.com/cbb/players/kam-jones-1.html
,149,"Broome, Johni",PF,Auburn,7/19/02,21.96,"6'9""","7'0""",240,,,,,,,,72,#DIV/0!,,,,,,,,35,34,24.8,16.5,2.5,6.1,8.5,2.2,0.9,2.2,1.6,2.4,6.2,11.4,0.548,5.4,9.1,0.596,0.8,2.3,0.354,3.2,5.2,0.615,0.707,24.0,3.6,8.9,12.3,3.2,1.3,3.2,2.3,3.5,9.0,13.2,3.3,7.5,https://www.sports-reference.com/cbb/players/johni-broome-1.html
,150,"Foster, Caleb",SG,Duke,7/16/04,19.97,"6'5""",,197,,,,,,,,116,#DIV/0!,,,,,,,,27,15,25.4,7.7,0.4,2.0,2.4,2.1,0.6,0.1,1.1,2.0,2.7,6.2,0.437,1.7,3.6,0.459,1.0,2.6,0.406,1.2,1.8,0.688,0.592,10.9,0.6,2.8,3.4,3.0,0.9,0.1,1.6,2.8,3.8,5.1,3.7,2.6,https://www.sports-reference.com/cbb/players/caleb-foster-2.html
,151,"Cadeau, Elliot",PG,North Carolina,9/4/04,19.84,"6'0""","6'2""",175,,,,,,,,94,#DIV/0!,,,,,,,,37,31,23.8,7.3,0.6,1.6,2.2,4.1,0.8,0.1,1.8,2.3,2.7,6.5,0.417,2.5,5.1,0.481,0.3,1.4,0.189,1.6,2.5,0.648,0.538,11.0,0.9,2.4,3.3,6.2,1.2,0.2,2.7,3.5,4.1,7.7,2.1,3.8,https://www.sports-reference.com/cbb/players/elliot-cadeau-1.html
,152,"Mara, Aday",C,Spain,4/7/05,19.24,"7'2""","7'7""",245,,,,,,,,123,#DIV/0!,,,,,,,,28,8,9.6,3.5,0.6,1.4,1.9,0.5,0.1,0.7,0.7,0.9,1.4,3.1,0.442,1.4,3.1,0.442,0.0,0.0,0.000,0.8,1.1,0.700,0.513,13.1,2.3,5.3,7.1,1.9,0.4,2.6,2.6,3.4,5.3,11.6,0.0,4.1,https://www.sports-reference.com/cbb/players/aday-mara-2.html
,153,"Mitchell, Dillon",SF,Texas,10/3/03,20.76,"6'7""","6'10""",193,,,,,,,,66,#DIV/0!,,,,,,,,34,33,29.0,9.6,1.8,5.7,7.5,1.4,1.0,0.9,1.4,1.7,4.1,6.9,0.585,4.1,6.7,0.605,0.0,0.2,0.000,1.5,2.6,0.598,0.670,11.9,2.2,7.1,9.3,1.7,1.2,1.1,1.7,2.1,5.1,8.3,0.2,3.2,https://www.sports-reference.com/cbb/players/dillon-mitchell-1.html
,154,"Lowe, Jaland",PG,Pittsburgh,1/1/05,19.51,"6'3""",,170,,,,,,,,88,#DIV/0!,,,,,,,,33,19,26.6,9.6,0.5,2.2,2.8,3.3,0.8,0.1,1.4,1.2,3.4,8.8,0.388,2.5,6.2,0.404,0.9,2.7,0.352,1.8,2.1,0.855,0.523,13.0,0.7,3.0,3.8,4.5,1.1,0.1,1.9,1.6,4.6,8.4,3.7,2.8,https://www.sports-reference.com/cbb/players/jaland-lowe-2.html
,155,"Booker, Xavier",PF,Michigan State,9/9/04,19.82,"6'11""",,220,,,,,,,,95,#DIV/0!,,,,,,,,27,2,9.2,3.7,0.3,1.4,1.7,0.2,0.1,0.5,0.3,1.1,1.3,3.0,0.439,0.7,1.3,0.588,0.6,1.8,0.333,0.4,0.7,0.632,0.564,14.5,1.2,5.5,6.7,0.8,0.4,2.0,1.2,4.3,5.1,5.1,7.0,2.7,https://www.sports-reference.com/cbb/players/xavier-booker-2.html
,156,"Griffen, Rylan",SG,Alabama,12/19/03,20.54,"6'6""",,190,,,,,,,,96,#DIV/0!,,,,,,,,36,33,26.3,11.2,0.9,2.4,3.4,1.9,0.5,0.3,1.4,2.1,3.7,8.1,0.454,1.6,2.8,0.569,2.1,5.3,0.392,1.8,2.2,0.810,0.662,15.3,1.2,3.3,4.7,2.6,0.7,0.4,1.9,2.9,5.1,3.8,7.3,3.0,https://www.sports-reference.com/cbb/players/rylan-griffen-1.html
,157,"Luis, RJ",SG,St. Johns,1/1/03,21.51,"6'7""",,195,,,,,,,,98,#DIV/0!,,,,,,,,23,10,21.0,10.9,1.3,3.3,4.6,1.0,1.2,0.3,1.3,2.5,4.1,9.7,0.422,3.7,8.0,0.470,0.3,1.7,0.200,2.3,3.1,0.750,0.543,18.7,2.2,5.7,7.9,1.7,2.1,0.5,2.2,4.3,7.0,13.7,2.9,5.3,https://www.sports-reference.com/cbb/players/rj-luis-1.html
,158,"Storr, AJ",SG,Wisconsin,8/26/03,20.86,"6'7""",,205,,,,,,,,80,#DIV/0!,,,,,,,,36,36,28.8,16.8,1.1,2.8,3.9,0.9,0.6,0.1,1.6,1.1,6.0,13.8,0.434,4.7,9.7,0.483,1.3,4.2,0.320,3.5,4.3,0.812,0.593,21.0,1.4,3.5,4.9,1.1,0.8,0.1,2.0,1.4,7.5,12.1,5.3,5.4,https://www.sports-reference.com/cbb/players/aj-storr-1.html
,159,"Carlyle, Kanaan",PG,Stanford,9/25/04,19.78,"6'3""",,185,,,,,,,,99,#DIV/0!,,,,,,,,23,16,25.7,11.5,0.4,2.3,2.7,2.7,0.4,0.6,2.9,1.8,3.6,9.3,0.386,2.2,5.0,0.443,1.4,4.3,0.320,2.9,3.7,0.776,0.596,16.1,0.6,3.2,3.8,3.8,0.6,0.8,4.1,2.5,5.0,7.0,6.0,5.2,https://www.sports-reference.com/cbb/players/kanaan-carlyle-1.html
,160,"Bradshaw, Aaron",C,Kentucky,5/14/04,20.14,"7'0""","7'4""",210,,,,,,,,76,#DIV/0!,,,,,,,,26,10,13.7,4.9,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,1.9,3.3,0.576,1.7,2.7,0.634,0.2,0.5,0.286,1.0,1.7,0.568,0.690,12.9,3.4,5.3,8.7,0.8,0.8,1.8,0.8,5.3,5.0,7.1,1.3,4.5,https://www.sports-reference.com/cbb/players/aaron-bradshaw-1.html
,161,"Ivisic, Zvonimir",PF,Kentucky,8/9/03,20.91,"7'2""",,220,,,,,,,,75,#DIV/0!,,,,,,,,15,0,11.7,5.5,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,2.0,3.5,0.577,1.6,2.4,0.667,0.4,1.1,0.375,1.1,1.5,0.773,0.716,16.9,3.4,6.8,10.2,1.8,0.9,4.0,3.1,4.6,6.2,7.4,3.4,4.6,https://www.sports-reference.com/cbb/players/zvonimir-ivisic-1.html
,162,"Davis, RJ",PG,North Carolina,10/21/01,22.71,"6'0""",,175,,,,,,,,85,#DIV/0!,,,,,,,,37,37,34.8,21.2,0.5,3.1,3.6,3.5,1.2,0.2,1.5,1.8,7.0,16.4,0.428,4.0,8.7,0.455,3.1,7.7,0.398,4.1,4.7,0.873,0.632,21.9,0.5,3.2,3.7,3.6,1.2,0.2,1.6,1.9,7.2,9.0,8.0,4.9,https://www.sports-reference.com/cbb/players/rj-davis-1.html
,163,"Lewis, KJ",SG,Arizona,8/3/04,19.92,"6'4""",,205,,,,,,,,103,#DIV/0!,,,,,,,,36,0,18.3,6.1,1.0,2.1,3.1,1.9,1.1,0.3,0.8,2.6,2.1,4.5,0.466,1.7,3.3,0.508,0.4,1.1,0.341,1.6,2.0,0.792,0.629,12.0,2.0,4.1,6.1,3.7,2.2,0.6,1.6,5.1,4.1,6.5,2.2,3.9,https://www.sports-reference.com/cbb/players/kj-lewis-2.html
,164,"Fleming, Rasheer",PF,St. Joseph's,1/1/03,21.51,"6'9""",,230,,,,,,,,106,#DIV/0!,,,,,,,,35,35,26.8,10.7,2.5,4.9,7.4,0.8,0.8,1.5,1.0,2.6,4.0,7.6,0.528,3.1,4.6,0.660,1.0,3.0,0.324,1.7,2.8,0.612,0.680,14.4,3.4,6.6,9.9,1.1,1.1,2.0,1.3,3.5,5.4,6.2,4.0,3.8,https://www.sports-reference.com/cbb/players/rasheer-fleming-1.html
,165,"Mgbako, Machenzie",PF,Indiana,11/18/04,19.63,"6'8""","7'4""",215,,,,,,,,107,#DIV/0!,,,,,,,,33,33,27.1,12.2,1.0,3.1,4.1,1.3,0.4,0.4,1.2,2.4,4.0,10.1,0.395,2.5,5.4,0.453,1.5,4.6,0.327,2.8,3.4,0.821,0.583,16.2,1.3,4.1,5.4,1.7,0.5,0.5,1.6,3.2,5.3,7.2,6.1,4.5,https://www.sports-reference.com/cbb/players/mackenzie-mgbako-2.html
,166,"Stojakovic, Andrej",SF,Stanford,8/17/04,19.88,"6'7""",,190,,,,,,,,108,#DIV/0!,,,,,,,,32,10,22.3,7.8,0.5,2.9,3.4,0.9,0.4,0.1,1.2,0.8,3.1,7.6,0.409,2.0,4.3,0.471,1.1,3.3,0.327,0.6,1.1,0.528,0.498,12.6,0.8,4.7,5.5,1.5,0.6,0.2,1.9,1.3,5.0,6.9,5.3,1.8,https://www.sports-reference.com/cbb/players/andrej-stojakovic-2.html
,167,"Diomande, Dominique",SF,France,6/20/05,19.04,"6'7""",,190,,,,,,,,110,#DIV/0!,,,,,,,,21,19,26.3,15.5,1.3,4.3,5.6,2.1,1.8,0.3,2.1,2.4,6.1,11.9,0.512,4.4,6.2,0.716,1.7,5.7,0.292,1.6,2.4,0.680,0.634,21.2,1.8,5.9,7.6,2.9,2.5,0.5,2.9,3.3,8.3,8.5,7.8,3.3,https://basketball.realgm.com/player/Abou-Dominique-Diomande/Summary/183336
,168,"Buchanan, Blake",PF,Virginia,5/2/00,24.18,"6'11""",,225,,,,,,,,111,#DIV/0!,,,,,,,,34,6,15.0,3.4,1.3,1.9,3.1,0.4,0.4,0.9,0.4,1.8,1.4,3.3,0.414,1.4,3.3,0.414,0.0,0.0,0.000,0.7,1.4,0.500,0.483,8.2,3.1,4.6,7.4,1.0,1.0,2.2,1.0,4.3,3.4,7.9,0.0,3.4,https://www.sports-reference.com/cbb/players/blake-buchanan-3.html
,169,"Boone, Kalib",PF,UNLV,11/30/00,23.60,"6'9""",,215,,,,,,,,112,#DIV/0!,,,,,,,,32,25,23.2,11.4,2.1,3.1,5.2,1.3,1.1,1.6,1.9,2.8,4.6,7.8,0.590,4.6,7.8,0.590,0.0,0.0,0.000,2.2,3.2,0.696,0.703,17.7,3.3,4.8,8.1,2.0,1.7,2.5,2.9,4.3,7.1,12.1,0.0,5.0,https://www.sports-reference.com/cbb/players/kalib-boone-1.html
,170,"Ugolin, Lucas",SG,France,4/23/02,22.20,"6'5""",,195,,,,,,,,115,#DIV/0!,,,,,,,,28,1,11.0,4.2,0.4,0.9,1.4,0.1,0.3,0.2,0.7,1.4,1.4,3.3,0.440,0.5,0.9,0.607,0.9,2.4,0.379,0.4,0.7,0.632,0.592,13.7,1.4,3.0,4.5,0.5,0.9,0.6,2.2,4.5,4.7,2.9,7.7,2.2,https://basketball.realgm.com/player/Lucas-Ugolin/Summary/139533
,171,"Kugel, Riley",SG,Florida,11/30/03,20.60,"6'5""",,205,,,,,,,,118,#DIV/0!,,,,,,,,33,11,23.3,9.2,0.9,2.6,3.5,1.5,1.1,0.2,1.9,1.9,3.3,8.5,0.394,2.3,5.2,0.447,1.0,3.3,0.312,1.5,2.1,0.696,0.522,14.2,1.4,4.0,5.4,2.3,1.7,0.3,2.9,2.9,5.1,8.0,5.1,3.2,https://www.sports-reference.com/cbb/players/riley-kugel-1.html
,172,"Hall, Keyshawn",SG,George Mason,4/9/03,21.24,"6'7""",,230,,,,,,,,120,#DIV/0!,,,,,,,,29,28,30.6,16.6,1.1,7.0,8.1,1.4,0.4,0.3,2.3,2.1,5.6,11.9,0.474,4.2,7.9,0.533,1.4,4.0,0.357,3.9,4.7,0.844,0.676,19.5,1.3,8.2,9.5,1.6,0.5,0.4,2.7,2.5,6.6,9.3,4.7,5.5,https://www.sports-reference.com/cbb/players/keyshawn-hall-1.html
,173,"Pate, Dink",SG,G-League Ignite,3/10/06,18.32,"6'8""",,210,,,,,,,,124,#DIV/0!,,,,,,,,31,20,23.6,8.0,0.2,2.7,2.9,3.6,0.6,0.1,2.5,1.3,3.1,8.8,0.348,2.5,6.1,0.407,0.6,2.7,0.214,0.8,1.1,0.727,0.438,12.2,0.4,4.1,4.4,5.5,0.9,0.2,3.8,2.0,4.7,9.3,4.1,1.6,https://basketball.realgm.com/player/Dink-Pate/Summary/186459
,174,"Kaluma, Arthur",SF,Kansas State,3/1/02,22.34,"6'7""",,225,,,,,,,,128,#DIV/0!,,,,,,,,33,32,34.5,14.4,1.4,5.6,7.0,2.0,0.8,0.5,2.8,2.3,4.6,10.8,0.427,3.1,6.4,0.486,1.5,4.5,0.345,3.6,4.8,0.747,0.647,15.0,1.5,5.8,7.3,2.1,0.8,0.5,2.9,2.4,4.8,6.7,4.7,5.0,https://www.sports-reference.com/cbb/players/arthur-kaluma-1.html
,175,"Cleveland, Matthew",SG,Miami,9/15/02,21.81,"6'7""",,210,,,,,,,,130,#DIV/0!,,,,,,,,29,29,33.2,13.7,1.7,4.4,6.1,1.7,1.3,0.4,1.9,1.3,5.3,10.9,0.489,4.3,8.0,0.537,1.0,2.9,0.357,2.0,2.5,0.795,0.609,14.9,1.8,4.8,6.6,1.8,1.4,0.4,2.1,1.4,5.7,8.7,3.1,2.7,https://www.sports-reference.com/cbb/players/matthew-cleveland-1.html
,176,"Dickinson, Hunter",C,Kansas,11/25/00,23.61,"7'2""",,260,,,,,,,,132,#DIV/0!,,,,,,,,33,33,32.2,17.9,2.6,8.4,10.9,2.3,0.9,1.4,1.8,2.2,7.6,13.8,0.548,6.9,11.8,0.581,0.7,2.0,0.354,2.1,3.3,0.624,0.636,20.0,2.9,9.4,12.2,2.6,1.0,1.6,2.0,2.5,8.5,13.2,2.2,3.7,https://www.sports-reference.com/cbb/players/hunter-dickinson-1.html
,177,"Thiero, Adou",SF,Kentucky,5/8/04,20.16,"6'7""",,220,,,,,,,,109,#DIV/0!,,,,,,,,25,19,21.4,7.2,1.5,3.4,5.0,1.1,0.7,1.1,0.7,2.1,2.6,5.3,0.492,2.3,4.4,0.527,0.3,0.9,0.318,1.8,2.2,0.800,0.637,12.1,2.5,5.7,8.4,1.9,1.2,1.9,1.2,3.5,4.4,7.4,1.5,3.7,https://www.sports-reference.com/cbb/players/adou-thiero-1.html
,178,"DeVries, Tucker",SG,Drake,12/7/02,21.58,"6'7""",,210,,,,,,,,121,#DIV/0!,,,,,,,,34,34,35.5,21.6,0.6,6.1,6.7,3.7,1.6,0.3,2.5,1.7,7.2,16.2,0.444,4.6,9.2,0.506,2.6,7.1,0.363,4.6,5.7,0.813,0.652,21.9,0.6,6.2,6.8,3.8,1.6,0.3,2.5,1.7,7.3,9.3,7.2,5.8,https://www.sports-reference.com/cbb/players/tucker-devries-1.html
,179,"Raynaud, Maxime",C,Stanford,4/7/03,21.24,"7'1""",,235,,,,,,,,125,#DIV/0!,,,,,,,,32,31,29.1,15.5,2.3,7.3,9.6,2.0,0.7,0.8,2.5,2.3,6.3,11.1,0.567,5.6,9.2,0.610,0.7,1.9,0.361,2.2,2.8,0.784,0.677,19.2,2.8,9.0,11.9,2.5,0.9,1.0,3.1,2.8,7.8,11.4,2.4,3.5,https://www.sports-reference.com/cbb/players/maxime-raynaud-1.html
,180,"Hoggard, AJ",PG,Michigan State,9/25/00,23.78,6'4',,210,,,,,,,,133,#DIV/0!,,,,,,,,35,34,28.7,10.7,0.6,2.5,3.1,5.2,1.4,0.3,1.8,2.1,3.8,9.3,0.407,3.1,7.2,0.425,0.7,2.1,0.347,2.4,3.1,0.787,0.555,13.4,0.8,3.1,3.9,6.5,1.8,0.4,2.3,2.6,4.8,9.0,2.6,3.9,https://www.sports-reference.com/cbb/players/aj-hoggard-1.html
,181,"Boswell, Kylan",PG,Arizona,4/18/05,19.21,"6'2""",,195,,,,,,,,134,#DIV/0!,,,,,,,,36,35,26.9,9.6,0.3,2.0,2.3,3.6,1.4,0.1,1.7,1.3,3.5,8.8,0.396,1.6,3.9,0.415,1.8,4.8,0.379,0.9,1.1,0.795,0.525,12.8,0.4,2.7,3.1,4.8,1.9,0.1,2.3,1.7,4.7,5.2,6.4,1.5,https://www.sports-reference.com/cbb/players/kylan-boswell-1.html
,182,"Richmond, Kadary",PG,Seton Hall,8/25/01,22.86,"6'5""",,180,,,,,,,,135,#DIV/0!,,,,,,,,35,34,32.7,15.7,1.7,5.3,7.0,5.1,2.2,0.6,3.1,1.7,5.8,13.1,0.441,5.3,11.3,0.468,0.5,1.8,0.270,3.7,4.6,0.807,0.583,17.3,1.9,5.8,7.7,5.6,2.4,0.7,3.4,1.9,6.4,12.4,2.0,5.1,https://www.sports-reference.com/cbb/players/kadary-richmond-1.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,This spreadsheet contains all of the players that appear on the Top Prospects list for any of the websites listed on 6/23/24.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"If a player was unranked on a certain website, he was given the rank equivalent to the total number of players that were ranked on at least one website (that ranked as many players).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For example, if a player was unranked on Bleacher Report's top 50 prospects list, and there are 70 prospects that appear in the top 50 of at least one other website, then the player will receive the rank of 70.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,